id,activity,api,cputime,day,filesize,language,latency,memory,platform,time
587,upload,native,1.8,6/24/16,155,java,436,75840,aws,00:00:49
588,upload,native,1.84,6/24/16,155,java,75,59016,azure,00:00:49
589,upload,multicloud,6.5,6/24/16,155,java,1138,106676,azure,00:00:50
590,upload,native,1.77,6/24/16,155,java,596,73272,aws,00:00:50
591,upload,multicloud,3.45,6/24/16,155,java,813,209040,aws,00:00:50
592,upload,native,1.92,6/24/16,155,java,200,58920,azure,00:00:51
593,upload,native,1.86,6/24/16,155,java,468,77020,aws,00:00:52
594,upload,native,2.02,6/24/16,155,java,62,60656,azure,00:00:52
595,upload,multicloud,3.46,6/24/16,155,java,838,210500,aws,00:00:52
596,upload,native,1.83,6/24/16,155,java,397,77120,aws,00:00:53
597,upload,native,1.81,6/24/16,155,java,77,58392,azure,00:00:54
598,upload,multicloud,6.26,6/24/16,155,java,1056,110144,azure,00:00:54
599,upload,native,1.87,6/24/16,155,java,612,78024,aws,00:00:54
600,upload,multicloud,3.56,6/24/16,155,java,921,214176,aws,00:00:55
601,upload,native,1.77,6/24/16,155,java,68,59156,azure,00:00:55
602,upload,native,1.89,6/24/16,155,java,492,74424,aws,00:00:56
603,upload,native,1.8,6/24/16,155,java,67,59072,azure,00:00:56
604,upload,native,1.85,6/24/16,155,java,451,77084,aws,00:00:57
605,upload,multicloud,3.6,6/24/16,155,java,923,216136,aws,00:00:57
606,upload,native,1.78,6/24/16,155,java,78,58232,azure,00:00:58
607,upload,multicloud,6.24,6/24/16,155,java,946,104848,azure,00:00:58
608,upload,native,1.84,6/24/16,155,java,425,77584,aws,00:00:58
609,upload,native,1.95,6/24/16,155,java,61,58980,azure,00:00:59
610,upload,multicloud,3.43,6/24/16,155,java,796,206736,aws,00:00:59
611,upload,native,1.88,6/24/16,155,java,482,77988,aws,00:00:59
612,upload,native,1.83,6/24/16,155,java,435,74856,aws,00:01:01
613,upload,native,1.81,6/24/16,155,java,74,59332,azure,00:01:01
614,upload,multicloud,3.53,6/24/16,155,java,912,215592,aws,00:01:02
615,upload,multicloud,6.44,6/24/16,155,java,997,103408,azure,00:01:02
616,upload,native,1.85,6/24/16,155,java,425,76924,aws,00:01:02
617,upload,native,1.96,6/24/16,155,java,81,58728,azure,00:01:02
618,upload,native,2.13,6/24/16,155,java,93,58904,azure,00:01:04
619,upload,multicloud,3.61,6/24/16,155,java,877,208664,aws,00:01:04
620,upload,native,1.96,6/24/16,155,java,79,67028,azure,00:01:05
621,upload,multicloud,6.68,6/24/16,155,java,1095,105400,azure,00:01:06
622,upload,multicloud,3.5,6/24/16,155,java,884,209776,aws,00:01:06
623,upload,native,1.83,6/24/16,155,java,65,58956,azure,00:01:06
624,upload,native,1.69,6/24/16,155,java,66,58812,azure,00:01:08
625,upload,multicloud,3.53,6/24/16,155,java,868,216464,aws,00:01:09
626,upload,native,1.8,6/24/16,155,java,185,59344,azure,00:01:09
627,upload,multicloud,6.22,6/24/16,155,java,1104,106036,azure,00:01:10
628,upload,native,1.82,6/24/16,155,java,61,58828,azure,00:01:10
